"RelativePath","Bytes","Sha256"
"data/textures/icons/acceleration.png","39654","77c1f6f92abbe22fc7641945d99af7b4b47a35ee83d3f60d33fb9e5a52a039b7"
"data/textures/icons/achievement.png","23116","1c0330004715255147227b4eb7db31d994fbb2cff5a7711119317dbb04f35699"
"data/textures/icons/acid-fog.png","139128","f711e1fc613eea6b4842a1b6a60fc6a5768157c82bb6159d2ea419b125e8efe9"
"data/textures/icons/acid.png","19856","e5c90a9e2796689faa54f97abf5308d44db290302362ac719cb7ca84583f52c5"
"data/textures/icons/activate-secondary-color-quadratic.png","2726","38cd0144e139cf0fa1d3b800613b05d603ab36663db831564574f54d503cd103"
"data/textures/icons/adhesive.png","18795","c3def1b0f080d2941b5d9c1247c2874aee9105e6c76a213ede031192649c39b2"
"data/textures/icons/adopt.png","18750","b088ef11f3c27a8571f4ab7eb7fcf1d91f82e59304c46b5cddb0b2de24e59de2"
"data/textures/icons/aggressive.png","49377","84191b8d1ab4eecfdc2b86dcb5dc7d7cae454c6479f11aaa412ae1f8f35d0728"
"data/textures/icons/alliance-info.png","9930","8be9f02498d63338915d34ffde0425ab8a8f8940ae55892594775e86164c17e8"
"data/textures/icons/alliance.png","12364","3c203bf3e677165a4f8239ff240da8256fb450364678454504c7c7299fcb1e53"
"data/textures/icons/aluminium.png","18074","5449d23377771ccaea24b64f5c51ed96fccecb46bd35792a237c023589f48f6d"
"data/textures/icons/ammo-box.png","8518","7f5ad7b82ab17cce44ff2d2a1390158682bbe9f74b936a8a891bfe5b1fc545c9"
"data/textures/icons/ammunition-l.png","7984","bbb3497a29bcb6e58e8347b52b6997d675b7df49c650a3933f0efcbd10827e9a"
"data/textures/icons/ammunition-m.png","10140","366474513ee9e35d41b316edecb0730de87f3d99d8a8b7234572203130d4de40"
"data/textures/icons/ammunition-s.png","13470","b4b8a8120161ce75298ee4c49331487d8ad4db13c80a896af5b9df7c8affe557"
"data/textures/icons/anchor.png","26716","30ff62547a78b999b859b7bfb960dea5fd8c26e2d5814f694099373be895cf9c"
"data/textures/icons/ancient-artifact.png","26910","8d03d24cb16949821c8aba258d9650e1997ae7404cf4e73661216e73cea5179c"
"data/textures/icons/ancient-holo.png","33323","d901f2fd0e4d8b3e2287ff635d0afef6a3f39290103941d53f89a923da7964be"
"data/textures/icons/ancient-knowledge.png","19390","ae186dfa6f39e42302db4c59d0596681b1e3ceb2409b3894bd2ecf6e2aaa2d0c"
"data/textures/icons/animal-hide.png","48705","f827896dba5d63fdca2935a7dd9b582d5a7f7b5a68aacebdb5f258816cf0c013"
"data/textures/icons/anti-fighter-gun.png","27809","1c5cb9f05e24f0f0801604a2a8adc6c397d71dcc4c2ed5ac5a5b884f2f0b7594"
"data/textures/icons/anti-grav-generator.png","19927","bd7ad8b0c17c5ca1b1cbf8cdaa7bd61951df813bf482bc0030be8dd7434ce6e9"
"data/textures/icons/anticlockwise-rotation.png","19603","e4b440fe5db230efcd467c4efca0a779365cd078ad7af44e54b11aa87377a643"
"data/textures/icons/antigrav-unit.png","34282","31e99f055a8aeb8a47d09c540b25b1338e9ecc242ae30ad9cbbb56e2a0fb2aa7"
"data/textures/icons/apc.png","19221","8dcf0ddd5ab28320f4fdaa676b55a8fecf3d9a4c7cf84601666c13b4237d3f99"
"data/textures/icons/apply-design.png","37002","5a11039a6ffbecc9b439efb8c3098d335b3f288d77e0df3ae40d2eb33a3a060b"
"data/textures/icons/arrow-down.png","2238","575fa7832f5e28ced81ad68be8d5afcc9a1fd2588fe0bfdf1b3933d81b5b7b9c"
"data/textures/icons/arrow-down2.png","10715","530a3006516a5fe9db916cc34e8b8cfe5ccb82da773c62003159b24f63a0c425"
"data/textures/icons/arrow-left.png","2650","a2f6fa7413552b5186cb39c71b29fbb565f78eaf61524606b1d3c14feac90273"
"data/textures/icons/arrow-left2.png","11203","e13da29d8e3c93a0e89bfd4897dba9aeecc7a234e9cde0369d978f18a014a2a1"
"data/textures/icons/arrow-right.png","10141","49abac7533312ba51c55f991d11e848e61fa39b484b1eb9319531d6c5a8b7bb4"
"data/textures/icons/arrow-right2.png","5995","a36e54302c935d987a9a1fedb512c15b2ea83124069c77049525d674b811e34b"
"data/textures/icons/arrow-up.png","2122","09b1d46d59e90092616a22107f6247ae451821367440361900429f88e2066e98"
"data/textures/icons/arrow-up2.png","10771","8a03546dac1a3f8bd75f4024155805a6a0204c15fa06d3a596b196388be05e5c"
"data/textures/icons/asteroid.png","10956","0cbf1cf09e6824abe49963b07188ac9de11e354647b7405763b422e177a6be60"
"data/textures/icons/asteroidsmall.png","61192","9376d945c6ab9facfce50c75aba834e2a0215f10bea41512e7910fa5ddfd20d9"
"data/textures/icons/attack.png","32036","849a33af2305bf267aefb887a232cd6ba97dcec78bba89cbbe8722964daebc61"
"data/textures/icons/auto-research-start.png","30025","cd672a5616f017b6cf03768f490bc9a702d9899677bc6d28b9f8ce85f6a63e41"
"data/textures/icons/auto-research-stop.png","18849","ab08c129e9804ec0b681407c9d866e7eb21dfbc5f16fc442204045d05fefbf8b"
"data/textures/icons/auto-targeting.png","15686","41888cd10e29acd2c552240f56a02f7c4656b65c3f321a88f8c950cd361da200"
"data/textures/icons/back-forth.png","13602","8c9c76f3f8b717c4ff897a5ce1d4f1f653eb8d2ba54bb8101a007c248b048843"
"data/textures/icons/background-simulation-areas.png","43673","5abe7abdd74e7719ebe3bd0af08511e23853713637ee9f62c22a290f8e0dbf9f"
"data/textures/icons/background-simulation.png","10634","a67e2c34eb109bdda780836f2e0707f099fbf7fba69e4b24c9912514432cb3f9"
"data/textures/icons/backround1.png","14961","0f5f5da35f6e162ece5aabbc1a4437f09281f57bb4421de272d0f22374bd3bcb"
"data/textures/icons/backround10.png","16897","edc74c4d66eebd4603f336b3d5dc56658ebbe78d7819337a29cc179ace8c8efd"
"data/textures/icons/backround11.png","8172","4c8e8861b9ae74beacf700be5d98a5b2bc2174feeb2f3f30aeb3a1ca944ad510"
"data/textures/icons/backround12.png","17618","09b2629db22b58972b9cc72329f6cc381ba3d793b17df2a5da412f43d46cc65c"
"data/textures/icons/backround13.png","9331","87b62f004784bb7b5ed98660f135317a3b05def1e5589f35279ee6cc6c0e3d9e"
"data/textures/icons/backround14.png","9361","8878913f32dad04d6e00f8f734ac6b3480c9e52cde061fb55645ecfdf91a1119"
"data/textures/icons/backround15.png","13794","0c68e77c47289b0d669c4ebecd9ae46fa49753772a6bd84441469e3c9dd914bb"
"data/textures/icons/backround16.png","21457","c89bbfc72edc67d3131e9f790afb91fae2975541df5889acfda123086ce8a59d"
"data/textures/icons/backround17.png","20874","dfab5153ad6b750fe94020c37416b2ec771dd056dd2dab15d734bbdab818e364"
"data/textures/icons/backround18.png","17005","03a7631ac5f99a8572910d9cef87cd575d21129bc96e57e3cf2a176d03d73693"
"data/textures/icons/backround19.png","18613","09036d42854f7b4a2987b8c109569529f6695d62074acd12d069f5c825b60ae5"
"data/textures/icons/backround2.png","8230","b0bc5a1fd721e2a4b9c6bef9cd9b1fdcf36aa56b9b3665efec8225855187148d"
"data/textures/icons/backround3.png","20776","a2d9c08a59a82df8b4a1efd891e46818852a1d260254c12497183d7fcefb6561"
"data/textures/icons/backround4.png","9032","66a65e7fc9f69c001aef78061142628a11834eace8c9278c0e1bd6be1295d838"
"data/textures/icons/backround5.png","18538","99055e63a2136e1297984f53f728d65c8ab51252094b44278765526a56758e78"
"data/textures/icons/backround6.png","7929","419b4f71f849edae5965641516a3ecd82a465b4a89a448f81f97768f22f03ae6"
"data/textures/icons/backround7.png","15194","759d9a77e32e0b89f496f7dbb8c4a653ce01eb3b401e5d215ca001d4d76a1d94"
"data/textures/icons/backround8.png","7984","de68954b9ad312a6b034003185ce30f35026a297ab1458720fcd22f34ea3cba4"
"data/textures/icons/backround9.png","17252","dd5c1285ee0c7a4c72ec6b28f6a4487a9720b59494a179188c4a7ed9d93552a2"
"data/textures/icons/bad-ping.png","9247","ca7689e33be202f0fa4e7c92e406ed7122462ea75ac9997743b758c5ed7bd5ce"
"data/textures/icons/badges/badge_battleship.png","6358","01ca565f6b5eba654d7b5c9d3faad29e219fcc30fb8e0d79ace574d8be275151"
"data/textures/icons/badges/badge_captain.png","6662","0929e6f4f3cd4bc63bf5dd8f3bc1bb16c04feb4509525bf3e137ce6a5bdb029b"
"data/textures/icons/badges/badge_corvette.png","4450","d3c3fb2e3a2add825e021aab0a10c123c39f062a0b4e980d71514bd2dbdbdfee"
"data/textures/icons/badges/badge_cruiser.png","5354","7d72ba286b66b4b2aa2c78dd589ec8d1ea7754d19ec17bc5f75e4535e53f4c26"
